Wall time,Step,Value
1495614942.079989,42,0.703125
1495614942.3555262,167,0.828125
1495614942.4879186,229,0.7578125
1495614943.0837612,474,0.859375
1495614943.2674007,536,0.7734375
1495614943.363017,579,0.84375
1495614943.3812408,586,0.828125
1495614943.5562477,647,0.875
1495614944.577932,1014,0.859375
1495614945.3691716,1333,0.859375
1495614945.519991,1385,0.890625
1495614945.634797,1436,0.8515625
1495614946.3701055,1734,0.890625
1495614946.3790553,1737,0.8828125
1495614946.8534834,1877,0.875
1495614948.302424,2307,0.8125
1495614948.5529928,2389,0.8984375
1495614948.8486795,2485,0.8984375
1495614948.8519938,2486,0.8515625
1495614949.6540823,2685,0.8984375
1495614951.1826453,3246,0.84375
1495614951.312486,3305,0.890625
1495614953.7896748,4317,0.9609375
1495614954.0121398,4400,0.9140625
1495614954.2016072,4492,0.890625
1495614954.2435606,4509,0.9453125
1495614955.480111,4971,0.8671875
1495614955.8633592,5134,0.921875
1495614956.4446323,5345,0.8515625
1495614957.5880065,5723,0.890625
1495614957.9859579,5907,0.9140625
1495614958.1641858,5990,0.875
1495614958.755546,6200,0.875
1495614960.0780525,6699,0.90625
1495614960.1271641,6711,0.9296875
1495614960.457832,6854,0.8671875
1495614960.9356928,6966,0.90625
1495614961.3777971,7155,0.890625
1495614962.1648407,7463,0.890625
1495614963.0296865,7798,0.90625
1495614963.135974,7833,0.9453125
1495614963.8518722,8066,0.8671875
1495614964.2793686,8180,0.9296875
1495614964.4258614,8221,0.9375
1495614965.0116143,8498,0.890625
1495614965.966862,8878,0.890625
1495614966.0814319,8935,0.890625
1495614967.0705898,9260,0.9140625
1495614967.5861511,9468,0.9375
1495614967.8210092,9554,0.84375
1495614968.1203473,9698,0.8828125
1495614969.8435647,10399,0.9296875
1495614970.0138001,10479,0.8359375
1495614970.1061044,10522,0.9140625
1495614971.2423775,10905,0.953125
1495614971.3797002,10966,0.9453125
1495614971.5005486,11020,0.9296875
1495614972.8801003,11532,0.921875
1495614972.9518933,11566,0.9453125
1495614973.934472,11969,0.890625
1495614973.9447186,11974,0.921875
1495614974.5446434,12164,0.8984375
1495614974.8274486,12290,0.9140625
1495614976.5003982,12877,0.921875
1495614977.013965,13034,0.9375
1495614977.07216,13061,0.8828125
1495614978.5545533,13620,0.9453125
1495614980.2461698,14294,0.9140625
1495614981.166628,14668,0.8671875
1495614981.4055288,14779,0.9296875
1495614981.6076367,14873,0.921875
1495614983.1809433,15473,0.9375
1495614983.9986181,15764,0.9296875
1495614984.925404,16116,0.8984375
1495614986.8265095,16857,0.9140625
1495614987.4664054,17066,0.921875
1495614987.5601249,17097,0.9375
1495614988.2810237,17317,0.921875
1495614988.9612327,17543,0.921875
1495614989.0022101,17557,0.9453125
1495614991.3552275,18451,0.9140625
1495614994.0075834,19531,0.9453125
1495614994.2526422,19640,0.90625
1495614994.525639,19731,0.9296875
1495614995.4109619,19995,0.890625
1495614995.5377307,20053,0.9296875
1495614995.5564709,20062,0.9453125
1495614996.068128,20244,0.9140625
1495614996.2531424,20323,0.921875
1495614996.7093654,20539,0.9140625
1495614996.7917764,20578,0.8984375
1495614997.3460958,20779,0.8671875
1495614997.352362,20782,0.9140625
1495614997.506561,20855,0.90625
1495614998.0577304,21080,0.9296875
1495614998.2597406,21144,0.9140625
1495614998.443513,21232,0.9140625
1495614998.6217456,21319,0.90625
1495614999.8838065,21848,0.9296875
1495615001.0054219,22245,0.9375
1495615001.2023387,22330,0.9375
1495615001.342778,22358,0.8828125
1495615003.1958342,23138,0.8984375
1495615003.793123,23286,0.921875
1495615004.0343802,23361,0.96875
1495615004.6061153,23427,0.859375
1495615005.2547896,23540,0.9140625
1495615005.664725,23670,0.921875
1495615005.735261,23701,0.90625
1495615007.0505922,24147,0.890625
1495615007.7013683,24282,0.8984375
1495615007.7057886,24284,0.9375
1495615007.7867084,24322,0.8984375
1495615008.569484,24621,0.9140625
1495615008.7926724,24727,0.921875
1495615009.3746154,24934,0.921875
1495615010.437622,25253,0.90625
1495615010.8607872,25391,0.890625
1495615011.9289153,25812,0.9375
1495615012.0394044,25847,0.875
1495615012.2731225,25921,0.8984375
1495615014.5896509,26797,0.9296875
1495615014.591784,26798,0.8984375
1495615015.4967797,27154,0.9140625
1495615016.3504195,27505,0.9140625
1495615016.612475,27603,0.8828125
1495615016.6923258,27638,0.8984375
1495615017.3059444,27916,0.9375
1495615018.852254,28438,0.9296875
1495615019.0776138,28543,0.8671875
1495615020.1637633,28970,0.8984375
1495615020.2269742,28996,0.953125
1495615020.3757608,29062,0.90625
1495615020.6979356,29201,0.890625
1495615020.961194,29263,0.90625
1495615021.4317443,29471,0.90625
1495615022.3712578,29829,0.953125
1495615023.304852,30005,0.9453125
1495615023.3786016,30031,0.9296875
1495615023.9000773,30174,0.96875
1495615024.640869,30470,0.859375
1495615025.0698245,30612,0.9453125
1495615025.2857997,30706,0.9765625
1495615025.3160279,30720,0.875
1495615027.737698,31406,0.90625
1495615027.826195,31443,0.9140625
1495615029.3981326,31880,0.890625
1495615029.5753074,31936,0.8828125
1495615030.4086483,32207,0.90625
1495615031.0132518,32435,0.921875
1495615031.2524507,32542,0.9140625
1495615031.5789235,32657,0.921875
1495615031.8443723,32762,0.8671875
1495615032.1226976,32894,0.953125
1495615032.1393015,32902,0.890625
1495615032.4236455,33034,0.8984375
1495615032.8873818,33181,0.8984375
1495615033.3196146,33375,0.921875
1495615033.380773,33403,0.90625
1495615034.2494538,33737,0.9375
1495615034.2760696,33749,0.90625
1495615034.356356,33785,0.90625
1495615034.4764974,33839,0.9375
1495615034.5735695,33876,0.890625
1495615034.66233,33913,0.953125
1495615035.1897426,34036,0.90625
1495615035.9676666,34362,0.9375
1495615036.5044098,34525,0.9375
1495615036.6874008,34599,0.9140625
1495615039.1504405,35354,0.8984375
1495615039.4388547,35483,0.9296875
1495615040.2083864,35771,0.875
1495615040.9393666,35953,0.9140625
1495615041.1425104,36037,0.8984375
1495615043.2906635,36629,0.890625
1495615043.3800704,36659,0.890625
1495615044.3690584,36850,0.8671875
1495615045.3987148,37202,0.9375
1495615046.2974792,37489,0.90625
1495615047.1022813,37764,0.9609375
1495615047.4737327,37876,0.953125
1495615048.8810353,38455,0.8671875
1495615049.5956812,38720,0.90625
1495615049.864916,38840,0.9296875
1495615050.1816964,38981,0.8984375
1495615050.9906197,39296,0.90625
1495615051.9687858,39702,0.9296875
1495615052.573947,39909,0.890625
1495615052.9776728,40020,0.9296875
1495615053.6028533,40296,0.9140625
1495615054.184845,40500,0.9375
1495615054.6015584,40667,0.8984375
1495615054.764459,40720,0.9140625
1495615054.932012,40793,0.90625
1495615055.6378357,41040,0.9453125
1495615056.2724032,41271,0.9375
1495615056.9286335,41539,0.953125
1495615059.8669589,42134,0.90625
1495615060.601576,42450,0.9296875
1495615060.640348,42468,0.9375
1495615061.2297087,42678,0.9140625
1495646005.8179696,637,0.8828125
1495646006.1625993,758,0.859375
1495646006.3173082,830,0.8203125
1495646006.385361,857,0.828125
1495646006.4799361,861,0.828125
1495646006.6986928,924,0.8828125
1495646007.1690018,1112,0.9140625
1495646007.3499172,1192,0.84375
1495646007.7347527,1319,0.84375
1495646007.7721314,1326,0.8984375
1495646007.89709,1370,0.8203125
1495646008.004711,1423,0.8515625
1495646009.4840329,1935,0.9140625
1495646009.8056886,2083,0.8671875
1495646010.8877227,2491,0.875
1495646011.3463347,2626,0.8359375
1495646011.7674074,2777,0.90625
1495646013.4056826,3437,0.921875
1495646013.4399097,3453,0.875
1495646013.6511695,3532,0.9453125
1495646016.0352705,4420,0.8984375
1495646016.9070554,4757,0.875
1495646017.0988357,4824,0.890625
1495646017.1862147,4863,0.90625
1495646017.5046372,5001,0.921875
1495646017.7004695,5066,0.9140625
1495646017.767982,5089,0.9140625
1495646018.1739666,5195,0.8828125
1495646018.414812,5300,0.921875
1495646018.509456,5346,0.9140625
1495646019.340792,5641,0.875
1495646021.3156648,6391,0.9140625
1495646021.631562,6470,0.9296875
1495646021.9594927,6596,0.8984375
1495646023.3381479,7125,0.9296875
1495646023.4872148,7175,0.921875
1495646023.812561,7284,0.921875
1495646023.9675329,7314,0.9140625
1495646025.4464855,7938,0.8828125
1495646025.7970917,8098,0.9140625
1495646026.3693106,8253,0.8984375
1495646026.5798454,8346,0.8984375
1495646027.9730022,8917,0.8828125
1495646028.5241714,9120,0.9296875
1495646029.1411474,9411,0.84375
1495646029.3479438,9472,0.8828125
1495646029.7197404,9629,0.8984375
1495646030.079627,9801,0.9140625
1495646030.6643963,10025,0.8828125
1495646030.735548,10058,0.9375
1495646031.0655513,10211,0.859375
1495646031.0969222,10226,0.90625
1495646032.1130872,10587,0.890625
1495646032.7680128,10825,0.921875
1495646032.7912595,10836,0.8984375
1495646033.1099637,10981,0.9140625
1495646033.203969,11025,0.8671875
1495646033.7921846,11242,0.9296875
1495646035.341131,11810,0.890625
1495646035.595285,11926,0.9296875
1495646035.953599,12056,0.8828125
1495646036.0810392,12101,0.9140625
1495646036.8070707,12418,0.84375
1495646037.454236,12662,0.921875
1495646037.4774277,12670,0.90625
1495646037.934245,12832,0.9375
1495646038.060901,12885,0.8984375
1495646039.5234685,13456,0.875
1495646039.8876982,13626,0.921875
1495646039.9163678,13640,0.90625
1495646040.1218505,13727,0.875
1495646040.6405756,13906,0.921875
1495646040.7108896,13939,0.9375
1495646041.9688575,14424,0.9609375
1495646042.3543022,14603,0.9296875
1495646045.1535957,15559,0.9375
1495646045.4060907,15675,0.84375
1495646045.7546954,15838,0.890625
1495646045.8122823,15865,0.9453125
1495646045.8506987,15882,0.8671875
1495646047.1539474,16383,0.859375
1495646047.2748358,16430,0.8984375
1495646047.5648353,16551,0.8828125
1495646048.0856423,16759,0.875
1495646048.1541295,16789,0.859375
1495646049.5229743,17298,0.9375
1495646049.540389,17304,0.90625
1495646049.5878994,17326,0.890625
1495646049.7754428,17416,0.8984375
1495646050.1512527,17594,0.9140625
1495646051.944175,18324,0.90625
1495646052.091227,18395,0.90625
1495646053.068621,18799,0.90625
1495646054.1659276,19258,0.9140625
1495646055.3705192,19635,0.9296875
1495646055.4351277,19666,0.8984375
1495646056.255693,19993,0.921875
1495646056.5701962,20143,0.859375
1495646057.9333768,20632,0.875
1495646058.3136733,20790,0.9140625
1495646058.738167,20984,0.9375
1495646060.3795147,21640,0.890625
1495646060.8532898,21806,0.8984375
1495646061.4160275,22008,0.9140625
1495646062.389955,22411,0.921875
1495646063.0619547,22720,0.875
1495646063.1504545,22762,0.921875
1495646064.1529417,23168,0.9375
1495646065.9357393,23906,0.90625
1495646066.5708137,24095,0.9375
1495646066.676065,24140,0.8515625
1495646067.687651,24559,0.90625
1495646069.7571442,25400,0.90625
1495646069.970909,25497,0.9296875
1495646070.0797596,25548,0.9296875
1495646070.415744,25709,0.90625
1495646072.0255873,26290,0.9140625
1495646072.082726,26304,0.8984375
1495646072.7453096,26574,0.875
1495646073.4088662,26838,0.9375
1495646073.5716305,26917,0.90625
1495646073.8248436,27034,0.9140625
1495646075.2597923,27581,0.9609375
1495646075.521341,27699,0.90625
1495646075.6853998,27775,0.875
1495646076.3720748,28034,0.8984375
1495646076.5449457,28115,0.9375
1495646077.6310594,28547,0.9296875
1495646078.0295389,28673,0.9453125
1495646078.5025747,28815,0.8828125
1495646078.948026,29025,0.953125
1495646079.0549588,29076,0.9453125
1495646079.1024694,29098,0.90625
1495646079.1743894,29131,0.875
1495646079.2276142,29156,0.859375
1495646079.8883882,29416,0.9375
1495646079.8924737,29418,0.90625
1495646080.108571,29520,0.9140625
1495646080.1149943,29523,0.8828125
1495646080.5353389,29677,0.890625
1495646080.9051058,29842,0.921875
1495646081.2317538,29992,0.8984375
1495646081.6303377,30128,0.9296875
1495646082.0068579,30298,0.9140625
1495646083.4587212,30913,0.9296875
1495646083.7488968,30960,0.90625
1495646083.9452977,31043,0.921875
1495646084.4939954,31306,0.9453125
1495646087.6130798,32606,0.9140625
1495646087.9086719,32686,0.90625
1495646089.5821605,33337,0.953125
1495646090.3217778,33601,0.9140625
1495646090.6232023,33745,0.9140625
1495646090.72521,33792,0.9453125
1495646090.9997778,33909,0.890625
1495646091.3815732,34025,0.9453125
1495646091.4014862,34032,0.9453125
1495646092.0406456,34317,0.9296875
1495646092.875114,34649,0.9453125
1495646093.8020642,35020,0.921875
1495646094.417015,35254,0.9296875
1495646094.5800745,35327,0.921875
1495646096.124159,35894,0.8828125
1495646096.2711306,35962,0.859375
1495646096.4400954,36039,0.9375
1495646096.470572,36053,0.8984375
1495646096.5538113,36092,0.90625
1495646096.7208393,36124,0.921875
1495646097.7469628,36537,0.9375
1495646098.1868877,36716,0.9140625
1495646099.1614807,37094,0.9296875
1495646099.2888312,37150,0.90625
1495646099.438655,37219,0.9140625
1495646099.5843217,37284,0.921875
1495646100.2441938,37509,0.890625
1495646100.2754066,37525,0.921875
1495646100.6860273,37669,0.8828125
1495646100.7664409,37695,0.9609375
1495646100.8593533,37732,0.875
1495646101.8199608,38115,0.9296875
1495646101.859194,38134,0.9453125
1495646102.0941532,38236,0.9453125
1495646102.798064,38500,0.890625
1495646103.0442889,38613,0.953125
1495646103.1190484,38648,0.8984375
1495646106.13688,39855,0.9453125
1495646106.2627306,39889,0.9140625
1495646106.581096,39968,0.953125
1495646107.510504,40386,0.9296875
1495646108.9562495,40881,0.9296875
1495646110.50107,41528,0.921875
1495646111.0203848,41720,0.9296875
1495646111.21516,41805,0.9375
1495646111.5354207,41937,0.8828125
1495646112.3882418,42208,0.953125
1495646112.5576484,42288,0.8984375
1495646113.4052994,42627,0.9296875
1495646113.4724052,42658,0.9296875
1495646113.538716,42691,0.9140625
1495646113.785545,42805,0.9453125
1495646113.9235787,42868,0.9140625
1495658772.472498,252,0.78125
1495658776.2498763,1018,0.8671875
1495658776.5774455,1103,0.859375
1495658777.0966828,1246,0.875
1495658778.8718414,1631,0.875
1495658779.1324599,1688,0.8671875
1495658780.4436812,1904,0.8359375
1495658781.0636032,2067,0.90625
1495658782.5943816,2375,0.890625
1495658784.474641,2912,0.8671875
1495658785.0485604,3053,0.8671875
1495658786.6619847,3500,0.890625
1495658786.9933958,3585,0.890625
1495658787.0603411,3601,0.90625
1495658788.7851193,3983,0.8671875
1495658789.8526013,4211,0.890625
1495658790.12612,4273,0.859375
1495658791.2849934,4475,0.9140625
1495658792.1102924,4688,0.8671875
1495658795.2459266,5332,0.953125
1495658796.283814,5538,0.8671875
1495658797.6780303,5862,0.9140625
1495658797.7543042,5882,0.890625
1495658797.774696,5885,0.8984375
1495658798.1947522,5970,0.890625
1495658798.2205489,5973,0.875
1495658800.091531,6358,0.921875
1495658803.1558824,6967,0.890625
1495658803.4199305,7026,0.84375
1495658805.0545852,7364,0.90625
1495658805.4723299,7461,0.9453125
1495658806.4029386,7709,0.890625
1495658808.0883014,8139,0.953125
1495658811.402843,8774,0.8671875
1495658812.37786,9022,0.9140625
1495658813.477244,9295,0.921875
1495658813.9038727,9422,0.8828125
1495658814.5507164,9559,0.90625
1495658814.7547762,9615,0.9453125
1495658814.9119143,9647,0.859375
1495658815.230172,9718,0.9296875
1495658817.1103992,10098,0.90625
1495658817.6103597,10187,0.8984375
1495658817.694531,10210,0.9375
1495658819.0829327,10539,0.9296875
1495658820.1618264,10773,0.921875
1495658820.3623338,10838,0.9453125
1495658822.862762,11394,0.859375
1495658823.3213613,11464,0.9140625
1495658824.3211195,11654,0.890625
1495658824.9481044,11834,0.9375
1495658825.7869496,12034,0.90625
1495658826.1480935,12114,0.875
1495658826.6088877,12224,0.875
1495658827.4830112,12450,0.9140625
1495658828.3719766,12642,0.8984375
1495658828.7850127,12712,0.9296875
1495658829.0570095,12761,0.9453125
1495658831.3989038,13293,0.90625
1495658833.3394244,13744,0.890625
1495658833.9211583,13850,0.90625
1495658833.9287283,13852,0.921875
1495658835.0322688,14122,0.9765625
1495658838.3866549,14804,0.921875
1495658838.4967408,14827,0.890625
1495658839.1044052,14989,0.9140625
1495658839.6057858,15096,0.875
1495658839.84403,15155,0.9375
1495658840.345049,15235,0.8984375
1495658840.7934482,15310,0.9296875
1495658841.1419766,15393,0.921875
1495658841.6252952,15472,0.90625
1495658842.0144885,15573,0.9140625
1495658842.5618076,15669,0.8984375
1495658842.8078513,15737,0.875
1495658844.8435965,16161,0.921875
1495658844.9264655,16181,0.9140625
1495658847.6566963,16747,0.9296875
1495658847.9869254,16779,0.90625
1495658848.2551122,16833,0.8515625
1495658848.6832268,16923,0.8515625
1495658849.3980734,17118,0.921875
1495658849.4987955,17149,0.9296875
1495658849.8768442,17204,0.9375
1495658849.9930768,17239,0.8671875
1495658850.0157855,17249,0.8828125
1495658850.798498,17444,0.9296875
1495658852.2718801,17755,0.9375
1495658854.163679,18185,0.9453125
1495658855.5063188,18514,0.90625
1495658855.7311208,18572,0.9140625
1495658857.3711567,18942,0.9140625
1495658857.8545916,19060,0.9140625
1495658858.1873164,19120,0.9140625
1495658858.278124,19134,0.90625
1495658858.4098177,19149,0.90625
1495658858.4779048,19162,0.921875
1495658859.1378865,19331,0.890625
1495658860.5589676,19672,0.9296875
